date,warehouse_location,category,product_name,base_price,is_promotion,current_stock_on_hand,supplier_lead_time_days,rolling_avg_7d,rolling_avg_30d,units_sold
1/1/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,NULL,NULL,2
1/2/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,2,2,5
1/3/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,3.5,3.5,9
1/4/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.33,5.33,6
1/5/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.5,5.5,4
1/6/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.2,5.2,4
1/7/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5,5,10
1/8/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.71,5.71,12
1/9/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.14,6.5,7
1/10/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.43,6.56,12
1/11/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.86,7.1,10
1/12/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.43,7.36,3
1/13/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.29,7,10
1/14/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.14,7.23,10
1/15/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.14,7.43,13
1/16/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.29,7.8,11
1/17/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.86,8,6
1/18/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9,7.88,13
1/19/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.43,8.17,4
1/20/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.57,7.95,8
1/21/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.29,7.95,3
1/22/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.29,7.71,9
1/23/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.71,7.77,7
1/24/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.14,7.74,5
1/25/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7,7.63,13
1/26/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7,7.84,3
1/27/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.86,7.65,12
1/28/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.43,7.81,12
1/29/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.71,7.96,3
1/30/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.86,7.79,2
1/31/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.14,7.6,14
2/1/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.43,8,14
2/2/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.57,8.3,12
2/3/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.86,8.4,3
2/4/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.57,8.3,14
2/5/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.86,8.63,9
2/6/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.71,8.8,7
2/7/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.43,8.7,7
2/8/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.43,8.53,13
2/9/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.29,8.73,14
2/10/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.57,8.8,12
2/11/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.86,8.87,7
2/12/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.86,9,10
2/13/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10,9,8
2/14/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.14,8.93,7
2/15/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.14,8.73,2
2/16/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.57,8.43,3
2/17/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7,8.33,8
2/18/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.43,8.17,13
2/19/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.29,8.47,14
2/20/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.86,8.67,13
2/21/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.57,9,11
2/22/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.14,9.07,8
2/23/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10,9.1,13
