date,warehouse_location,category,product_name,base_price,is_promotion,local_temp_c,reorder_point,storage_cost_per_unit,current_stock_on_hand,supplier_lead_time_days,rolling_avg_7d,rolling_avg_30d,units_sold
2025-01-01,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,NULL,NULL,2
2025-01-02,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,2.00,2.00,5
2025-01-03,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,3.50,3.50,9
2025-01-04,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,5.33,5.33,6
2025-01-05,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,5.50,5.50,4
2025-01-06,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,5.20,5.20,4
2025-01-07,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,5.00,5.00,10
2025-01-08,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,5.71,5.71,12
2025-01-09,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,7.14,6.50,7
2025-01-10,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,7.43,6.56,12
2025-01-11,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,7.86,7.10,10
2025-01-12,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,8.43,7.36,3
2025-01-13,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,8.29,7.00,10
2025-01-14,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,9.14,7.23,10
2025-01-15,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,9.14,7.43,13
2025-01-16,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,9.29,7.80,11
2025-01-17,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,9.86,8.00,6
2025-01-18,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,9.00,7.88,13
2025-01-19,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,9.43,8.17,4
2025-01-20,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,9.57,7.95,8
2025-01-21,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,9.29,7.95,3
2025-01-22,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,8.29,7.71,9
2025-01-23,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,7.71,7.77,7
2025-01-24,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,7.14,7.74,5
2025-01-25,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,7.00,7.63,13
2025-01-26,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,7.00,7.84,3
2025-01-27,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,6.86,7.65,12
2025-01-28,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,7.43,7.81,12
2025-01-29,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,8.71,7.96,3
2025-01-30,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,7.86,7.79,2
2025-01-31,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,7.14,7.60,14
2025-02-01,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,8.43,8.00,14
2025-02-02,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,8.57,8.30,12
2025-02-03,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,9.86,8.40,3
2025-02-04,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,8.57,8.30,14
2025-02-05,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,8.86,8.63,9
2025-02-06,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,9.71,8.80,7
2025-02-07,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,10.43,8.70,7
2025-02-08,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,9.43,8.53,13
2025-02-09,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,9.29,8.73,14
