date,product_id,warehouse_location,units_sold,is_promotion,local_temp_c
2025-01-01,101,Lagos,9,0,25
2025-01-01,101,London,8,0,4
2025-01-01,101,New York,4,0,2
2025-01-01,101,Dubai,2,0,27
2025-01-01,102,Lagos,2,0,31
2025-01-01,102,London,8,0,14
2025-01-01,102,New York,11,0,12
2025-01-01,102,Dubai,4,0,31
2025-01-01,201,Lagos,15,0,28
2025-01-01,201,London,22,0,14
2025-01-01,201,New York,34,0,6
2025-01-01,201,Dubai,24,0,26
2025-01-01,202,Lagos,33,0,29
2025-01-01,202,London,28,0,11
2025-01-01,202,New York,28,0,6
2025-01-01,202,Dubai,12,0,33
2025-01-01,301,Lagos,5,0,27
2025-01-01,301,London,8,0,8
2025-01-01,301,New York,6,0,9
2025-01-01,301,Dubai,13,0,30
2025-01-01,401,Lagos,9,0,25
2025-01-01,401,London,2,0,11
2025-01-01,401,New York,8,0,16
2025-01-01,401,Dubai,6,0,25
2025-01-01,501,Lagos,12,0,26
2025-01-01,501,London,13,0,4
2025-01-01,501,New York,2,0,1
2025-01-01,501,Dubai,6,0,30
2025-01-01,601,Lagos,8,0,32
2025-01-01,601,London,12,0,5
2025-01-01,601,New York,9,0,1
2025-01-01,601,Dubai,7,0,25
2025-01-02,101,Lagos,10,0,30
2025-01-02,101,London,14,0,3
2025-01-02,101,New York,4,0,18
2025-01-02,101,Dubai,5,0,28
2025-01-02,102,Lagos,10,0,31
2025-01-02,102,London,3,0,10
2025-01-02,102,New York,13,0,17
2025-01-02,102,Dubai,8,0,34
2025-01-02,201,Lagos,20,0,34
2025-01-02,201,London,23,0,1
2025-01-02,201,New York,25,0,4
2025-01-02,201,Dubai,28,0,27
2025-01-02,202,Lagos,16,0,30
2025-01-02,202,London,19,0,10
2025-01-02,202,New York,19,0,7
2025-01-02,202,Dubai,74,1,27
2025-01-02,301,Lagos,27,1,26
2025-01-02,301,London,3,0,15
2025-01-02,301,New York,14,0,0
2025-01-02,301,Dubai,5,0,29
2025-01-02,401,Lagos,5,0,32
2025-01-02,401,London,8,0,0
2025-01-02,401,New York,13,0,13
2025-01-02,401,Dubai,7,0,27
2025-01-02,501,Lagos,7,0,26
2025-01-02,501,London,6,0,14
2025-01-02,501,New York,2,0,15
2025-01-02,501,Dubai,4,0,25
2025-01-02,601,Lagos,2,0,29
2025-01-02,601,London,7,0,8
2025-01-02,601,New York,6,0,16
2025-01-02,601,Dubai,6,0,25
2025-01-03,101,Lagos,5,0,29
2025-01-03,101,London,8,0,2
2025-01-03,101,New York,3,0,2
2025-01-03,101,Dubai,9,0,26
2025-01-03,102,Lagos,7,0,34
2025-01-03,102,London,3,0,7
2025-01-03,102,New York,2,0,15
2025-01-03,102,Dubai,8,0,31
2025-01-03,201,Lagos,23,0,32
2025-01-03,201,London,35,0,3
2025-01-03,201,New York,27,0,13
2025-01-03,201,Dubai,25,0,26
2025-01-03,202,Lagos,19,0,27
2025-01-03,202,London,29,0,16
2025-01-03,202,New York,24,0,10
2025-01-03,202,Dubai,27,0,29
2025-01-03,301,Lagos,13,0,29
2025-01-03,301,London,8,0,12
2025-01-03,301,New York,5,0,2
2025-01-03,301,Dubai,8,0,26
2025-01-03,401,Lagos,13,0,27
2025-01-03,401,London,2,0,18
2025-01-03,401,New York,13,0,4
2025-01-03,401,Dubai,11,0,31
2025-01-03,501,Lagos,10,0,25
2025-01-03,501,London,11,0,14
2025-01-03,501,New York,3,0,15
2025-01-03,501,Dubai,10,0,29
2025-01-03,601,Lagos,2,0,31
2025-01-03,601,London,6,0,2
2025-01-03,601,New York,13,0,18
2025-01-03,601,Dubai,6,0,29
2025-01-04,101,Lagos,2,0,28
2025-01-04,101,London,6,0,15
2025-01-04,101,New York,6,0,0
2025-01-04,101,Dubai,6,0,34
2025-01-04,102,Lagos,7,0,26
2025-01-04,102,London,5,0,18
2025-01-04,102,New York,11,0,4
2025-01-04,102,Dubai,14,0,32
2025-01-04,201,Lagos,19,0,28
2025-01-04,201,London,30,0,0
2025-01-04,201,New York,24,0,4
2025-01-04,201,Dubai,25,0,32
2025-01-04,202,Lagos,31,0,26
2025-01-04,202,London,26,0,16
2025-01-04,202,New York,28,0,9
2025-01-04,202,Dubai,34,0,33
2025-01-04,301,Lagos,8,0,29
2025-01-04,301,London,3,0,3
2025-01-04,301,New York,10,0,3
2025-01-04,301,Dubai,11,0,32
2025-01-04,401,Lagos,4,0,28
2025-01-04,401,London,3,0,4
2025-01-04,401,New York,13,0,12
2025-01-04,401,Dubai,8,0,33
2025-01-04,501,Lagos,2,0,28
2025-01-04,501,London,10,0,18
2025-01-04,501,New York,2,0,8
2025-01-04,501,Dubai,4,0,31
2025-01-04,601,Lagos,13,0,28
2025-01-04,601,London,4,0,15
2025-01-04,601,New York,6,0,11
2025-01-04,601,Dubai,10,0,29
2025-01-05,101,Lagos,5,0,33
2025-01-05,101,London,8,0,9
2025-01-05,101,New York,11,0,4
2025-01-05,101,Dubai,4,0,26
2025-01-05,102,Lagos,13,0,34
2025-01-05,102,London,13,0,5
2025-01-05,102,New York,8,0,7
2025-01-05,102,Dubai,11,0,34
2025-01-05,201,Lagos,17,0,30
2025-01-05,201,London,21,0,0
2025-01-05,201,New York,20,0,6
2025-01-05,201,Dubai,32,0,30
2025-01-05,202,Lagos,37,0,30
2025-01-05,202,London,28,0,18
2025-01-05,202,New York,31,0,12
2025-01-05,202,Dubai,24,0,28
2025-01-05,301,Lagos,13,0,33
2025-01-05,301,London,8,0,12
2025-01-05,301,New York,13,0,16
2025-01-05,301,Dubai,10,0,30
2025-01-05,401,Lagos,6,0,29
2025-01-05,401,London,7,0,4
2025-01-05,401,New York,5,0,19
2025-01-05,401,Dubai,10,0,33
2025-01-05,501,Lagos,2,0,25
2025-01-05,501,London,6,0,2
2025-01-05,501,New York,8,0,11
2025-01-05,501,Dubai,11,0,32
2025-01-05,601,Lagos,7,0,29
2025-01-05,601,London,9,0,3
2025-01-05,601,New York,11,0,17
2025-01-05,601,Dubai,13,0,33
2025-01-06,101,Lagos,5,0,30
2025-01-06,101,London,2,0,19
2025-01-06,101,New York,14,0,12
2025-01-06,101,Dubai,4,0,26
2025-01-06,102,Lagos,4,0,33
2025-01-06,102,London,3,0,17
2025-01-06,102,New York,12,0,0
2025-01-06,102,Dubai,7,0,25
2025-01-06,201,Lagos,26,0,33
2025-01-06,201,London,27,0,12
2025-01-06,201,New York,13,0,0
2025-01-06,201,Dubai,22,0,25
2025-01-06,202,Lagos,30,0,27
2025-01-06,202,London,22,0,4
2025-01-06,202,New York,30,0,13
2025-01-06,202,Dubai,33,0,28
2025-01-06,301,Lagos,2,0,26
2025-01-06,301,London,13,0,6
2025-01-06,301,New York,11,0,2
2025-01-06,301,Dubai,12,0,25
2025-01-06,401,Lagos,7,0,33
2025-01-06,401,London,2,0,14
2025-01-06,401,New York,8,0,13
2025-01-06,401,Dubai,3,0,31
2025-01-06,501,Lagos,7,0,26
2025-01-06,501,London,7,0,17
2025-01-06,501,New York,12,0,1
2025-01-06,501,Dubai,5,0,25
2025-01-06,601,Lagos,9,0,31
2025-01-06,601,London,11,0,4
2025-01-06,601,New York,14,0,16
2025-01-06,601,Dubai,11,0,28
2025-01-07,101,Lagos,9,0,30
2025-01-07,101,London,6,0,10
2025-01-07,101,New York,12,0,18
2025-01-07,101,Dubai,10,0,30
2025-01-07,102,Lagos,9,0,28
2025-01-07,102,London,9,0,2
2025-01-07,102,New York,12,0,17
2025-01-07,102,Dubai,14,0,27
2025-01-07,201,Lagos,20,0,34
2025-01-07,201,London,29,0,0
2025-01-07,201,New York,24,0,13
2025-01-07,201,Dubai,13,0,33
2025-01-07,202,Lagos,29,0,30
2025-01-07,202,London,32,0,15
2025-01-07,202,New York,24,0,0
2025-01-07,202,Dubai,19,0,28
2025-01-07,301,Lagos,9,0,34
2025-01-07,301,London,13,0,1
2025-01-07,301,New York,14,0,18
2025-01-07,301,Dubai,8,0,31
2025-01-07,401,Lagos,12,0,26
2025-01-07,401,London,11,0,18
2025-01-07,401,New York,10,0,9
2025-01-07,401,Dubai,8,0,31
2025-01-07,501,Lagos,7,0,33
2025-01-07,501,London,2,0,3
2025-01-07,501,New York,11,0,12
2025-01-07,501,Dubai,3,0,30
2025-01-07,601,Lagos,3,0,32
2025-01-07,601,London,2,0,9
2025-01-07,601,New York,10,0,19
2025-01-07,601,Dubai,11,0,32
2025-01-08,101,Lagos,12,0,29
2025-01-08,101,London,10,0,5
2025-01-08,101,New York,7,0,3
2025-01-08,101,Dubai,12,0,32
2025-01-08,102,Lagos,8,0,27
2025-01-08,102,London,14,1,5
2025-01-08,102,New York,3,0,10
2025-01-08,102,Dubai,19,1,32
2025-01-08,201,Lagos,19,0,26
2025-01-08,201,London,29,0,12
2025-01-08,201,New York,27,0,3
2025-01-08,201,Dubai,17,0,25
2025-01-08,202,Lagos,37,0,30
2025-01-08,202,London,29,0,3
2025-01-08,202,New York,34,0,5
2025-01-08,202,Dubai,20,0,31
2025-01-08,301,Lagos,11,0,32
2025-01-08,301,London,3,0,4
2025-01-08,301,New York,10,0,10
2025-01-08,301,Dubai,9,0,27
2025-01-08,401,Lagos,2,0,26
2025-01-08,401,London,6,0,8
2025-01-08,401,New York,3,0,2
2025-01-08,401,Dubai,2,0,30
2025-01-08,501,Lagos,13,0,32
2025-01-08,501,London,12,0,13
2025-01-08,501,New York,13,0,4
2025-01-08,501,Dubai,6,0,34
2025-01-08,601,Lagos,5,0,34
2025-01-08,601,London,10,0,7
2025-01-08,601,New York,8,0,18
2025-01-08,601,Dubai,14,0,31
2025-01-09,101,Lagos,2,0,25
2025-01-09,101,London,8,0,7
2025-01-09,101,New York,9,0,18
2025-01-09,101,Dubai,7,0,31
2025-01-09,102,Lagos,4,0,28
2025-01-09,102,London,14,0,6
2025-01-09,102,New York,12,0,5
2025-01-09,102,Dubai,10,0,29
2025-01-09,201,Lagos,28,0,28
2025-01-09,201,London,18,0,9
2025-01-09,201,New York,17,0,14
2025-01-09,201,Dubai,27,0,32
2025-01-09,202,Lagos,31,0,28
2025-01-09,202,London,35,0,18
2025-01-09,202,New York,17,0,10
2025-01-09,202,Dubai,26,0,34
2025-01-09,301,Lagos,9,0,32
2025-01-09,301,London,8,0,13
2025-01-09,301,New York,12,0,12
2025-01-09,301,Dubai,9,0,33
2025-01-09,401,Lagos,7,1,28
2025-01-09,401,London,5,0,4
2025-01-09,401,New York,9,0,16
2025-01-09,401,Dubai,13,0,33
2025-01-09,501,Lagos,7,0,32
2025-01-09,501,London,10,0,0
2025-01-09,501,New York,6,0,13
2025-01-09,501,Dubai,5,0,33
2025-01-09,601,Lagos,2,0,31
2025-01-09,601,London,4,0,14
2025-01-09,601,New York,10,0,9
2025-01-09,601,Dubai,5,0,34
2025-01-10,101,Lagos,10,0,28
2025-01-10,101,London,10,0,5
2025-01-10,101,New York,3,0,1
2025-01-10,101,Dubai,12,0,27
2025-01-10,102,Lagos,7,0,31
2025-01-10,102,London,5,0,0
2025-01-10,102,New York,2,0,10
2025-01-10,102,Dubai,7,0,26
2025-01-10,201,Lagos,16,0,28
2025-01-10,201,London,20,0,7
2025-01-10,201,New York,18,0,12
2025-01-10,201,Dubai,20,0,27
2025-01-10,202,Lagos,24,0,32
2025-01-10,202,London,15,0,18
2025-01-10,202,New York,14,0,16
2025-01-10,202,Dubai,26,0,28
2025-01-10,301,Lagos,2,0,31
2025-01-10,301,London,8,0,9
2025-01-10,301,New York,11,0,1
2025-01-10,301,Dubai,13,0,31
2025-01-10,401,Lagos,13,0,31
2025-01-10,401,London,14,0,2
2025-01-10,401,New York,9,0,7
2025-01-10,401,Dubai,7,0,29
2025-01-10,501,Lagos,4,0,32
2025-01-10,501,London,3,0,13
2025-01-10,501,New York,9,0,15
